"","pT","pFP","pTs","pFPs","TO","beta","q","X1","X2","X4","pC","pRI","TR"
"11",0.530989736287585,1.59884222297968e-05,0.623371201118993,0.000126869452157515,0.176990603351772,0.0105768614992507,0.500239138844081,1.0076793386992e-05,7.41982151220952e-06,2.08008862339792e-06,0.199796731477439,0.0324035139487191,0.350761029793103
"12",0.408072046212386,6.57288240629476e-05,0.51167327766984,7.137052967614e-05,0.0602438261117755,0.012185014454797,0.990927786929476,1.04491486796156e-05,6.5409804028698e-06,1.35642647820687e-06,0.285040245506946,0.0312413124491983,1.14489576133044
"13",0.400839083738307,5.86530881467971e-06,0.530600729592696,0.000113380011230937,0.0625163396174885,0.00789093700824401,0.822793604812151,1.20035622640472e-05,5.30037669557421e-06,1.87386846015796e-06,0.188059495287178,0.0185319499212789,0.307431708735997
"14",0.447701222656859,0.000110102384920536,0.580872542242685,0.000530072392804233,0.0185900580839518,0.00848277590750159,0.722159003027288,1.02992736482493e-05,6.25890661059473e-06,1.6440561396508e-06,0.320090691267779,0.0463036566569052,0.0747142257276735
"15",0.587678986296499,2.97070575052169e-05,0.850606175969059,0.000567069283849902,0.347879694864454,0.0122342446699972,0.386885020935041,7.3353931993638e-06,8.80435413169336e-06,2.58207866124988e-06,0.274809287885652,0.0315342045205264,0.175258097372162
"16",0.467163029168874,7.84580823982394e-05,0.602313776450414,0.00121367822370921,0.245097343786708,0.0146901963636691,0.478252468559965,8.31889027013183e-06,7.34050870807119e-06,2.29022911183814e-06,0.253176438927826,0.0359689814301742,0.459066604442542
"17",0.432447128125311,3.51753701823078e-05,0.436611129440185,0.000858906649426481,0.00906627956425174,0.00808635813952399,0.361939933936763,9.68879846445379e-06,5.77114241064914e-06,2.46652959305047e-06,0.204529467100251,0.0343965088096063,0.224698643735678
"18",0.527333805792188,0.000142244670033213,0.887322146469898,0.000416893594636141,0.328449716630159,0.0127175450773729,0.494830805009308,1.11053427122955e-05,5.36212302047366e-06,1.79406499501076e-06,0.303088916032946,0.052205900601605,0.161451066095073
"19",0.367345844410906,3.26183183491552e-05,0.585470369667933,0.000538908647329487,0.0177753205449288,0.00803032965192114,0.734997288762213,1.09626270832147e-05,7.89559918126601e-06,3.05070413630193e-06,0.220649627711767,0.0315627506915927,0.0790768684554504
"20",0.453752831146784,3.82468306141154e-05,0.496723652775406,0.000166841034508206,0.0299439081740406,0.00793086854039354,0.480231485806846,1.07800176955938e-05,5.16266677039041e-06,1.41933479149988e-06,0.265275317343115,0.0243915276501595,0.0305702401230134
"21",0.472713804505189,2.55583722633006e-06,0.58652031156028,0.000631852841227849,0.123590773449565,0.00763254582753705,0.183632900051623,1.05282256018268e-05,5.76735258958425e-06,1.97154420181837e-06,0.218251703137214,0.0283572628874634,0.130055738396946
"22",0.47305378979613,0.000102219508848738,0.54274731404989,0.000656014158984169,0.011620285713885,0.00814406835991879,0.560013063383265,6.36772389524901e-06,5.20548365968668e-06,1.48581758212095e-06,0.249941990717365,0.0407088478697878,0.25714879484366
"23",0.471157500808689,8.57089263685605e-06,0.733235932244391,0.000102977296683299,0.183234768381539,0.00975466207226659,0.910953569123926,1.34796650917723e-05,6.68239785414571e-06,2.88875887601191e-06,0.194137603891595,0.041164926791709,0.0418012431277343
"24",0.435398080604821,5.01647716991827e-05,0.658084463930468,0.000315181888753544,0.116387458294943,0.00838613478918836,0.754025962690395,1.00558955647696e-05,7.03621133139786e-06,2.86518313070945e-06,0.232262182041011,0.02424185012036,0.229521285308857
"25",0.505202414159446,6.29499972935896e-05,0.649456319688039,0.000103626797503562,0.0377679241518235,0.0127359549978762,0.409256292752269,1.13318739302454e-05,7.74596044021724e-06,2.96067118375307e-06,0.279775418793817,0.0493535356311564,1.25306396684198
"26",0.408706144420652,7.68552982178334e-06,0.511169558419103,1.43823800724633e-05,0.0150918947287117,0.00881925920659507,0.448447940448617,1.14210391587613e-05,6.80594697632902e-06,3.09871206915564e-06,0.313216353933414,0.0406643623995802,0.631812649299035
"27",0.475199664318748,8.67469477229183e-05,0.562024843090158,0.000277846549515849,0.242979529234413,0.0082024046298827,0.681693477413214,8.0208803194551e-06,8.97118182035882e-06,1.47920149984927e-06,0.255275293553608,0.026121886678089,0.117078226416834
"28",0.421830236439575,9.35745615566155e-06,0.527915940807812,0.000129211131750129,0.277083830797236,0.0078065012215716,0.510493174697367,9.68958046394222e-06,4.83877727476006e-06,2.22348485425617e-06,0.241783394651612,0.0303575142943878,0.103312901515568
"29",0.487671955732278,1.0657723372979e-05,0.778871854978035,5.21751375522333e-05,0.266059652750431,0.0104350387322865,0.474562000100206,1.11403405624443e-05,5.63037053328745e-06,1.33745504929108e-06,0.265371166021232,0.0310770555299811,0.047720720853454
